YR,MO,DA,HHMM,Day,Day_1,S,Bx,By,Bz,Bt,Lat,Long
2003,10,29,1959,52941,71940,0,-19.2,-10.3,-25.6,33.7,-49.6,208.1
2003,10,29,2000,52941,72000,0,-18.7,-10.6,-25.3,33.2,-49.6,209.6
2003,10,29,2001,52941,72060,0,-19.2,-9.5,-25.2,33.1,-49.6,206.2
2003,10,29,2002,52941,72120,0,-17.5,-6.9,-26.8,32.7,-54.9,201.6
2003,10,29,2003,52941,72180,0,-19.1,-8.9,-25.6,33.2,-50.6,205.1
2003,10,29,2004,52941,72240,0,-18.6,-8.1,-25.9,32.9,-52,203.4
2003,10,29,2005,52941,72300,0,-19.4,-6.9,-25.2,32.5,-50.8,199.7
2003,10,29,2006,52941,72360,0,-17.5,-4.6,-27,32.5,-56.2,194.7
2003,10,29,2007,52941,72420,0,-17.3,-5.2,-26.6,32.2,-55.9,196.8
2003,10,29,2008,52941,72480,0,-14.5,-2,-28.6,32.2,-62.9,187.7
2003,10,29,2009,52941,72540,0,-16.2,-3.9,-28.2,32.8,-59.4,193.3
2003,10,29,2010,52941,72600,0,-18.6,-6.8,-28.6,34.8,-55.3,200.2
2003,10,29,2011,52941,72660,0,-18.3,-7,-28.3,34.5,-55.3,200.9
2003,10,29,2012,52941,72720,0,-18,-6.7,-28.3,34.2,-55.8,200.4
2003,10,29,2013,52941,72780,0,-15.5,-0.5,-30.3,34,-62.9,182
2003,10,29,2014,52941,72840,0,-15.6,0.2,-30,33.8,-62.5,179.3
2003,10,29,2015,52941,72900,0,-14,2.4,-30.5,33.7,-65,170.2
2003,10,29,2016,52941,72960,0,-12.4,1.6,-30.9,33.3,-68,172.8
2003,10,29,2017,52941,73020,0,-12.1,3.1,-31.1,33.5,-68.2,165.7
2003,10,29,2018,52941,73080,0,-10.8,2,-31.4,33.3,-70.7,169.6
2003,10,29,2019,52941,73140,0,-10.9,-0,-31.4,33.2,-70.9,180.2
2003,10,29,2020,52941,73200,0,-10.8,-2.9,-31.1,33,-70.3,195.1
2003,10,29,2021,52941,73260,0,-10.8,0.1,-30.7,32.6,-70.6,179.6
2003,10,29,2022,52941,73320,0,-11.5,-1.9,-30.6,32.7,-69.2,189.6
2003,10,29,2023,52941,73380,0,-11.4,-4,-30.3,32.6,-68.2,199.2
2003,10,29,2024,52941,73440,0,-10.1,-4.7,-30.7,32.6,-70,204.8
2003,10,29,2025,52941,73500,0,-9,-6.3,-30.7,32.6,-70.4,215
2003,10,29,2026,52941,73560,0,-8.7,-5.1,-30.8,32.4,-71.8,210.4
2003,10,29,2027,52941,73620,0,-6.3,-6.5,-30.5,31.8,-73.5,225.8
2003,10,29,2028,52941,73680,0,-6.2,-8.3,-30.5,32.2,-71.2,233.3
2003,10,29,2029,52941,73740,0,-6.4,-3.5,-30.6,31.5,-76.6,208.7
2003,10,29,2030,52941,73800,0,-9.3,-2.1,-29.4,30.9,-72,192.5
2003,10,29,2031,52941,73860,0,-6,4.6,-30.4,31.4,-76,143
2003,10,29,2032,52941,73920,0,-7,2.4,-30.7,31.5,-76.5,161
2003,10,29,2033,52941,73980,0,-7.1,2.9,-31,31.9,-76.1,158.1
2003,10,29,2034,52941,74040,0,-8,1.9,-30.7,31.7,-75.1,166.7
2003,10,29,2035,52941,74100,0,-10.9,-3.2,-29.5,31.6,-69,196.2
2003,10,29,2036,52941,74160,0,-10.2,-0.3,-29.8,31.5,-71.1,181.7
2003,10,29,2037,52941,74220,0,-9.2,-2,-29.9,31.3,-72.6,192.3
2003,10,29,2038,52941,74280,0,-8.1,-2.5,-30.3,31.4,-74.3,197.2
2003,10,29,2039,52941,74340,0,-10.4,-1,-29.6,31.4,-70.6,185.8
2003,10,29,2040,52941,74400,0,-13.9,-3.7,-27.7,31.2,-62.6,194.9
2003,10,29,2041,52941,74460,0,-12.4,-1.2,-28.4,31,-66.4,185.7
2003,10,29,2042,52941,74520,0,-13.2,-1.5,-28.3,31.2,-64.8,186.5
2003,10,29,2043,52941,74580,0,-10.1,2.1,-29.3,31.1,-70.6,168.5
2003,10,29,2044,52941,74640,0,-10,1.5,-29.2,30.9,-70.8,171.4
2003,10,29,2045,52941,74700,0,-11.2,-1,-28.8,30.9,-68.8,185.2
2003,10,29,2046,52941,74760,0,-10.9,-0.8,-28.8,30.8,-69.3,184.2
2003,10,29,2047,52941,74820,0,-9.1,1.4,-29.4,30.8,-72.6,171.2
2003,10,29,2048,52941,74880,0,-7.7,2.5,-29.8,30.9,-74.8,161.8
2003,10,29,2049,52941,74940,0,-7.8,1.5,-29.8,30.9,-75.1,169.5
2003,10,29,2050,52941,75000,0,-8.9,2,-29.4,30.8,-72.7,167.7
2003,10,29,2051,52941,75060,0,-8.3,1.5,-29.6,30.8,-74,169.6
2003,10,29,2052,52941,75120,0,-9,1.7,-29.3,30.7,-72.6,169.3
2003,10,29,2053,52941,75180,0,-10.7,3,-28.4,30.5,-68.7,164.1
2003,10,29,2054,52941,75240,0,-10.7,3.2,-28.3,30.4,-68.4,163.3
2003,10,29,2055,52941,75300,0,-10.9,2.7,-28.1,30.3,-68.2,166.2
2003,10,29,2056,52941,75360,0,-10.5,3.5,-28.1,30.2,-68.6,161.7
2003,10,29,2057,52941,75420,0,-8.7,5.1,-28.3,30.1,-70.4,149.4
2003,10,29,2058,52941,75480,0,-10.6,4.1,-28,30.2,-67.9,158.9
2003,10,29,2059,52941,75540,0,-11.6,3,-27.8,30.3,-66.8,165.6
2003,10,29,2100,52941,75600,0,-11.4,1.6,-28,30.3,-67.6,172.1
2003,10,29,2101,52941,75660,0,-11.3,2.3,-28,30.2,-67.7,168.4
2003,10,29,2102,52941,75720,0,-11.5,2.3,-27.8,30.1,-67.2,168.6
2003,10,29,2103,52941,75780,0,-12,2.7,-27.5,30.1,-65.8,167.3
2003,10,29,2104,52941,75840,0,-13.1,3.7,-26.8,30,-63.1,164.4
2003,10,29,2105,52941,75900,0,-12.4,2.9,-27.1,30,-64.9,167
2003,10,29,2106,52941,75960,0,-11,3.2,-27.7,30,-67.5,163.9
2003,10,29,2107,52941,76020,0,-12,4.4,-27.1,29.9,-64.8,159.9
2003,10,29,2108,52941,76080,0,-11.6,3.2,-27.5,30,-66.3,164.4
2003,10,29,2109,52941,76140,0,-11.4,2.7,-27.6,30,-67,166.7
2003,10,29,2110,52941,76200,0,-11.2,3.1,-27.6,29.9,-67.2,164.5
2003,10,29,2111,52941,76260,0,-11.4,3.6,-27.4,29.8,-66.4,162.5
2003,10,29,2112,52941,76320,0,-12.5,3.7,-26.7,29.8,-64,163.3
2003,10,29,2113,52941,76380,0,-13.3,3.5,-26.4,29.8,-62.4,165.4
2003,10,29,2114,52941,76440,0,-12.6,3.4,-26.6,29.7,-64,165
2003,10,29,2115,52941,76500,0,-11.8,4.7,-26.8,29.7,-64.6,158.2
2003,10,29,2116,52941,76560,0,-10.7,5.4,-27.1,29.7,-66.2,153.3
2003,10,29,2117,52941,76620,0,-11.6,4.1,-26.9,29.6,-65.5,160.4
2003,10,29,2118,52941,76680,0,-12.9,2.5,-26.6,29.6,-63.7,169.2
2003,10,29,2119,52941,76740,0,-12.5,2.6,-26.7,29.6,-64.4,168.3
2003,10,29,2120,52941,76800,0,-13.2,2.1,-26.3,29.4,-63.1,170.9
2003,10,29,2121,52941,76860,0,-13.5,2.5,-26,29.4,-62.2,169.4
2003,10,29,2122,52941,76920,0,-15.8,2.1,-24.5,29.2,-57,172.5
2003,10,29,2123,52941,76980,0,-14.9,2.6,-25,29.2,-58.8,170.2
2003,10,29,2124,52941,77040,0,-14.6,3.5,-25.1,29.2,-59.1,166.6
2003,10,29,2125,52941,77100,0,-13.9,3.9,-25.3,29.2,-60.3,164.4
2003,10,29,2126,52941,77160,0,-14.2,3.7,-25,29,-59.6,165.3
2003,10,29,2127,52941,77220,0,-12.2,3,-26.2,29.1,-64.4,166
2003,10,29,2128,52941,77280,0,-13.6,3.7,-25,28.7,-60.6,164.9
2003,10,29,2129,52941,77340,0,-13.5,4.3,-25.1,28.8,-60.6,162.3
2003,10,29,2130,52941,77400,0,-12.5,4.1,-25.7,28.9,-62.9,161.9
2003,10,29,2131,52941,77460,0,-11.7,3.7,-26.1,28.8,-64.7,162.6
2003,10,29,2132,52941,77520,0,-10.2,2.5,-26.9,28.9,-68.7,166.4
2003,10,29,2133,52941,77580,0,-10.2,2.7,-26.7,28.8,-68.5,165.1
2003,10,29,2134,52941,77640,0,-10.8,3,-26.3,28.6,-66.9,164.7
2003,10,29,2135,52941,77700,0,-9.1,0.8,-26.9,28.4,-71.4,174.9
2003,10,29,2136,52941,77760,0,-9.1,2.2,-26.7,28.3,-70.6,166.6
2003,10,29,2137,52941,77820,0,-9,1.2,-26.7,28.2,-71.3,172.3
2003,10,29,2138,52941,77880,0,-8.1,0.5,-26.7,27.9,-73.1,176.1
2003,10,29,2139,52941,77940,0,-7.4,0.1,-26.8,27.8,-74.7,179
2003,10,29,2140,52941,78000,9,-7.30172413793103,-0.0327586206896552,-26.7362068965517,27.7413793103448,-74.6431034482759,180.356896551724
2003,10,29,2141,52941,78060,9,-7.20344827586207,-0.16551724137931,-26.6724137931034,27.6827586206897,-74.5862068965517,181.713793103448
2003,10,29,2142,52941,78120,9,-7.1051724137931,-0.298275862068965,-26.6086206896552,27.6241379310345,-74.5293103448276,183.070689655172
2003,10,29,2143,52941,78180,9,-7.00689655172414,-0.431034482758621,-26.5448275862069,27.5655172413793,-74.4724137931034,184.427586206897
2003,10,29,2144,52941,78240,9,-6.90862068965517,-0.563793103448276,-26.4810344827586,27.5068965517241,-74.4155172413793,185.784482758621
2003,10,29,2145,52941,78300,9,-6.81034482758621,-0.696551724137931,-26.4172413793103,27.448275862069,-74.3586206896552,187.141379310345
2003,10,29,2146,52941,78360,9,-6.71206896551724,-0.829310344827586,-26.3534482758621,27.3896551724138,-74.301724137931,188.498275862069
2003,10,29,2147,52941,78420,9,-6.61379310344828,-0.962068965517241,-26.2896551724138,27.3310344827586,-74.2448275862069,189.855172413793
